4661 東証1部 (株)オリエンタルランド（サービス業）,,,,,
"2018-03-13","10350","10450","10350","10450","358600","10450"
"2018-03-14","10400","10455","10325","10375","461700","10375"
"2018-03-15","10350","10465","10320","10455","357400","10455"
"2018-03-16","10500","10540","10455","10475","607800","10475"
"2018-03-19","10475","10480","10310","10365","383700","10365"
"2018-03-20","10305","10375","10230","10375","357700","10375"
"2018-03-22","10350","10640","10350","10625","622100","10625"
"2018-03-23","10425","10525","10375","10410","857400","10410"
"2018-03-26","10380","10420","10215","10330","804400","10330"
"2018-03-27","10400","10685","10380","10685","1520300","10685"
"2018-03-28","10500","10705","10445","10700","854200","10700"
"2018-03-29","10735","10865","10700","10790","571800","10790"
"2018-03-30","10880","10920","10805","10865","603700","10865"
"2018-04-02","10740","10815","10570","10575","605700","10575"
"2018-04-03","10500","10840","10460","10825","800600","10825"
"2018-04-04","10830","10870","10620","10830","739200","10830"
"2018-04-05","10875","11010","10815","10940","671100","10940"
"2018-04-06","10935","11045","10885","10920","571500","10920"
"2018-04-09","10920","11245","10875","11165","721300","11165"
"2018-04-10","11165","11355","11070","11070","809900","11070"
"2018-04-11","11070","11080","10710","10735","735700","10735"
"2018-04-12","10745","10830","10660","10760","398600","10760"
"2018-04-13","10790","10790","10560","10580","543900","10580"
"2018-04-16","10740","10915","10705","10810","501600","10810"
"2018-04-17","10795","10805","10705","10755","314900","10755"
"2018-04-18","10770","10925","10755","10800","575300","10800"
"2018-04-19","10850","10850","10650","10660","495800","10660"
"2018-04-20","10670","10840","10670","10785","367400","10785"
"2018-04-23","10825","10850","10745","10770","276500","10770"
"2018-04-24","10800","10860","10760","10855","352400","10855"
"2018-04-25","10825","10940","10820","10915","337900","10915"
"2018-04-26","10900","10920","10835","10900","417300","10900"
"2018-04-27","10780","10965","10665","10915","754900","10915"
"2018-05-01","10875","10920","10805","10890","335300","10890"
"2018-05-02","10900","10990","10865","10985","396600","10985"
"2018-05-07","11000","11250","11000","11235","686300","11235"
"2018-05-08","11230","11485","11180","11480","897800","11480"
"2018-05-09","11360","11465","11330","11365","500800","11365"
"2018-05-10","11305","11310","11085","11225","524800","11225"
"2018-05-11","11200","11390","11200","11375","387100","11375"
"2018-05-14","11430","11485","11400","11470","402400","11470"
"2018-05-15","11445","11445","11300","11310","525600","11310"
"2018-05-16","11325","11400","11205","11205","494500","11205"
"2018-05-17","11265","11310","11180","11195","418400","11195"
"2018-05-18","11275","11340","11200","11335","366500","11335"
"2018-05-21","11340","11375","11250","11270","316200","11270"
"2018-05-22","11220","11270","11055","11255","603300","11255"
"2018-05-23","11180","11235","11095","11185","456600","11185"
"2018-05-24","11100","11165","11025","11075","556400","11075"
"2018-05-25","11025","11165","10995","11160","449600","11160"
"2018-05-28","11260","11305","11160","11225","482400","11225"
"2018-05-29","11200","11255","11135","11180","466900","11180"
"2018-05-30","11105","11155","11030","11070","626300","11070"
"2018-05-31","11085","11210","11070","11150","2044600","11150"
"2018-06-01","11070","11215","11060","11075","530500","11075"
"2018-06-04","11170","11205","11120","11125","302800","11125"
"2018-06-05","11120","11195","11105","11155","327400","11155"
"2018-06-06","11200","11255","11125","11240","494200","11240"
"2018-06-07","11290","11290","11175","11210","480100","11210"
"2018-06-08","11150","11280","11150","11235","707700","11235"
"2018-06-11","11250","11315","11235","11275","367600","11275"
"2018-06-12","11320","11545","11305","11520","774100","11520"
"2018-06-13","11550","11900","11550","11850","855100","11850"
"2018-06-14","11790","11850","11640","11670","619500","11670"
"2018-06-15","11970","11990","11865","11960","1491500","11960"
"2018-06-18","12020","12080","11860","12035","1057600","12035"
"2018-06-19","12100","12230","11885","11890","827000","11890"
"2018-06-20","12060","12115","11780","11875","647400","11875"
"2018-06-21","11830","11880","11620","11820","697700","11820"
"2018-06-22","11755","11855","11720","11830","361000","11830"
"2018-06-25","11835","11840","11695","11725","306000","11725"
"2018-06-26","11645","11700","11510","11545","517300","11545"
"2018-06-27","11585","11765","11555","11715","653400","11715"
"2018-06-28","11650","11680","11525","11570","470200","11570"
"2018-06-29","11700","11720","11515","11625","448300","11625"
"2018-07-02","11580","11605","11290","11295","517200","11295"
"2018-07-03","11315","11425","11230","11295","479100","11295"
"2018-07-04","11255","11520","11205","11500","445300","11500"
"2018-07-05","11560","11575","11350","11405","465500","11405"
"2018-07-06","11450","11470","11270","11310","454600","11310"
"2018-07-09","11380","11475","11310","11425","310200","11425"
"2018-07-10","11480","11525","11355","11355","584300","11355"
"2018-07-11","11310","11460","11310","11435","423900","11435"
"2018-07-12","11400","11555","11385","11405","462800","11405"
"2018-07-13","11465","11555","11420","11540","359800","11540"
"2018-07-17","11575","11790","11575","11765","403600","11765"
"2018-07-18","11850","11880","11745","11815","310000","11815"
"2018-07-19","11815","11815","11545","11545","526400","11545"
"2018-07-20","11550","11645","11490","11590","367300","11590"
"2018-07-23","11570","11645","11535","11600","261900","11600"
"2018-07-24","11625","11635","11530","11540","253400","11540"
"2018-07-25","11560","11570","11455","11460","310700","11460"
"2018-07-26","11570","11645","11530","11575","423800","11575"
"2018-07-27","11640","11645","11525","11625","343600","11625"
"2018-07-30","11620","11620","11545","11620","328600","11620"
"2018-07-31","11690","12215","11680","12130","1629600","12130"
"2018-08-01","12170","12280","12010","12140","721400","12140"
"2018-08-02","12200","12330","12110","12130","530500","12130"
"2018-08-03","12125","12145","11985","12030","384500","12030"
"2018-08-06","12010","12110","11935","11945","248200","11945"
"2018-08-07","12045","12210","11965","12210","457500","12210"
"2018-08-08","12335","12470","12290","12300","816600","12300"
"2018-08-09","12265","12345","12205","12250","421800","12250"
"2018-08-10","12300","12390","12210","12370","501300","12370"
"2018-08-13","12350","12390","12200","12220","443000","12220"
"2018-08-14","12270","12360","12205","12350","377000","12350"
"2018-08-15","12260","12305","11895","12030","787600","12030"
"2018-08-16","11900","11965","11805","11815","635200","11815"
"2018-08-17","11870","11895","11715","11730","514900","11730"
"2018-08-20","11785","11895","11750","11885","382400","11885"
"2018-08-21","11850","11855","11740","11750","592200","11750"
"2018-08-22","11730","11745","11555","11580","622200","11580"
"2018-08-23","11655","11780","11655","11750","377800","11750"
"2018-08-24","11830","11895","11745","11875","339500","11875"
"2018-08-27","11940","11975","11875","11940","301500","11940"
"2018-08-28","11970","11975","11790","11845","449800","11845"
"2018-08-29","11895","11955","11825","11830","400700","11830"
"2018-08-30","11865","11870","11720","11730","624100","11730"
"2018-08-31","11745","11965","11735","11905","723800","11905"
"2018-09-03","11850","11875","11790","11820","358000","11820"
"2018-09-04","11805","11920","11745","11890","388400","11890"
"2018-09-05","11960","11990","11780","11790","520100","11790"
"2018-09-06","11735","11750","11660","11685","454600","11685"
"2018-09-07","11690","11795","11660","11775","349700","11775"
"2018-09-10","11810","11810","11560","11570","527800","11570"
"2018-09-11","11590","11670","11475","11560","594200","11560"
"2018-09-12","11555","11555","11250","11305","856600","11305"
"2018-09-13","11295","11500","11275","11360","675200","11360"
"2018-09-14","11405","11470","11265","11275","837900","11275"
"2018-09-18","11250","11635","11175","11600","766200","11600"
"2018-09-19","11745","11815","11625","11705","574500","11705"
"2018-09-20","11705","11710","11540","11625","535100","11625"
"2018-09-21","11730","11810","11675","11700","931600","11700"
"2018-09-25","11700","11950","11685","11950","1375000","11950"
"2018-09-26","11945","11980","11740","11915","787200","11915"
"2018-09-27","11910","12065","11860","11875","504600","11875"
"2018-09-28","11880","11955","11815","11880","642500","11880"
"2018-10-01","11825","11855","11710","11710","418600","11710"
"2018-10-02","11805","12140","11760","12110","1175600","12110"
"2018-10-03","11940","11980","11665","11665","1059600","11665"
"2018-10-04","11740","11745","11400","11430","770200","11430"
"2018-10-05","11440","11560","11355","11365","683900","11365"
"2018-10-09","11315","11380","11115","11160","716400","11160"
"2018-10-10","11215","11310","11140","11250","505500","11250"
"2018-10-11","10990","11075","10920","10970","899100","10970"
"2018-10-12","10945","10970","10730","10765","766100","10765"
"2018-10-15","10780","10865","10630","10635","648200","10635"
"2018-10-16","10555","10640","10460","10600","535800","10600"
"2018-10-17","10755","10780","10660","10775","464400","10775"
"2018-10-18","10805","10980","10800","10930","546900","10930"
"2018-10-19","10825","10865","10705","10845","420400","10845"
"2018-10-22","10715","10875","10690","10820","375000","10820"
"2018-10-23","10775","10785","10530","10530","564500","10530"
"2018-10-24","10500","10575","10395","10535","536700","10535"
"2018-10-25","10225","10385","10205","10215","652100","10215"
"2018-10-26","10255","10300","10060","10140","650300","10140"
"2018-10-30","10000","10180","9976","10150","884800","10150"
"2018-11-01","10650","10690","10365","10395","590500","10395"
"2018-11-02","10385","10455","10285","10450","582800","10450"
"2018-11-05","10435","10440","10250","10390","434400","10390"
"2018-11-06","10435","10530","10365","10530","325500","10530"
"2018-11-07","10595","10815","10570","10745","721100","10745"
"2018-11-08","10950","10960","10800","10890","438700","10890"
"2018-11-09","10915","11015","10860","10935","366500","10935"
